	gene_human	entrez_id_human	gene_mouse	MGI	MP_HMD	MP_PhenoGeno	HP_genes_to_phenotype	MP_system_level	HP_system_level	MP_from_HP_system_level
7596	GSTO2	119391	Gsto2	MGI:1915464		MP:0002098,MP:0000062,MP:0002833,MP:0010123		['MP:0010771', 'MP:0005390', 'MP:0005385', 'MP:0005378']	['']	[['']]
7597	GSTP1	2950	Gstp1	MGI:95865		MP:0001260,MP:0002051		['MP:0010771', 'MP:0005378', 'MP:0002006']	['']	[['']]
7598	GSTP1	2950	Gstp2	MGI:95864		MP:0001260,MP:0002051		['MP:0010771', 'MP:0005378', 'MP:0002006']	['']	[['']]
7599	GSTP1	2950	Gstp3	MGI:2385078				['']	['']	[['']]
7600	GSTP1	2950	Gstp-ps	MGI:3782108				['']	['']	[['']]
7601	GSTT1	2952	Gstt1	MGI:107379		MP:0005559,MP:0001402,MP:0008875		['MP:0005386', 'MP:0005376']	['']	[['']]
7602	GSTT2	2953	Gstt2	MGI:106188		MP:0008561,MP:0001846,MP:0008664,MP:0002169,MP:0008660,MP:0008705,MP:0008663,MP:0008872,MP:0008560		['MP:0005376', 'MP:0005387']	['']	[['']]
7603	GSTT2B	653689	Gstt2	MGI:106188		MP:0008561,MP:0001846,MP:0008664,MP:0002169,MP:0008660,MP:0008705,MP:0008663,MP:0008872,MP:0008560		['MP:0005376', 'MP:0005387']	['']	[['']]
7604	GSTT4	25774	Gstt4	MGI:1923136				['']	['']	[['']]
7605	GSTZ1	2954	Gstz1	MGI:1341859		MP:0000221,MP:0002083,MP:0002893,MP:0001262,MP:0031115,MP:0009763,MP:0002135,MP:0001263,MP:0002981,MP:0002628,MP:0009640,MP:0002499,MP:0003917,MP:0031116,MP:0000598,MP:0003674,MP:0011368,MP:0004953,MP:0001654,MP:0000316,MP:0014341,MP:0001860,MP:0002837,MP:0003946	HP:0000007,HP:0001410	['MP:0005387', 'MP:0005378', 'MP:0005385', 'MP:0005376', 'MP:0005384', 'MP:0005370', 'MP:0005397', 'MP:0005367']	[]	[]
7606	GSX1	219409	Gsx1	MGI:95842		MP:0001746,MP:0001924,MP:0000222,MP:0000221,MP:0011088,MP:0002083,MP:0001262,MP:0006399,MP:0001290,MP:0001752,MP:0002163,MP:0001265,MP:0014269,MP:0008332,MP:0005361,MP:0003663,MP:0000435,MP:0008321,MP:0014270,MP:0002164,MP:0005016,MP:0011084,MP:0008329		['MP:0005387', 'MP:0005397', 'MP:0005390', 'MP:0005391', 'MP:0005389', 'MP:0005386', 'MP:0003631', 'MP:0005382', 'MP:0005379', 'MP:0005378']	['']	[['']]
7607	GSX2	170825	Gsx2	MGI:95843		MP:0006108,MP:0009937,MP:0011087,MP:0000913,MP:0004103,MP:0006092,MP:0002169,MP:0012468,MP:0005039,MP:0001957,MP:0000828,MP:0004277,MP:0004101,MP:0000787,MP:0009546,MP:0001575,MP:0004186,MP:0000934,MP:0003232	HP:0002540,HP:0002510,HP:0008872,HP:0001332,HP:0001344,HP:0000007,HP:0040326,HP:0002134,HP:0003577,HP:0012695,HP:0011344	['MP:0005388', 'MP:0003631', 'MP:0005382', 'MP:0005376', 'MP:0005384', 'MP:0005386', 'MP:0005378']	['HP:0011968', 'HP:0000707', 'HP:0003011']	[['MP:0005386'], ['MP:0003631'], ['MP:0005369']]
7608	GTDC1	79712	Gtdc1	MGI:2444269				['']	['']	[['']]
7609	GTF2A1	2957	Gtf2a1	MGI:1933277		MP:0014052,MP:0001153,MP:0005159,MP:0001146,MP:0011088,MP:0001436,MP:0001925,MP:0006380,MP:0011100,MP:0010024,MP:0008279,MP:0004852		['MP:0005379', 'MP:0005384', 'MP:0005386', 'MP:0005389', 'MP:0005375']	['']	[['']]
7610	GTF2A1L	11036	Gtf2a1l	MGI:1919078		MP:0005568,MP:0000221,MP:0002965		['MP:0005397', 'MP:0005376', 'MP:0005387']	['']	[['']]
7611	GTF2A2	2958	Gtf2a2	MGI:1933289				['']	['']	[['']]
7612	GTF2B	2959	Gtf2b	MGI:2385191		MP:0013293,MP:0011100,MP:0013292		[]	['']	[['']]
7613	GTF2E1	2960	Gtf2e1	MGI:1921447				['']	['']	[['']]
7614	GTF2E2	2961	Gtf2e2	MGI:1915403		MP:0002599,MP:0005553,MP:0013293,MP:0011100,MP:0013292	HP:0008619,HP:0008619,HP:0001197,HP:0410219,HP:0007266,HP:0007256,HP:0002423,HP:0001290,HP:0001276,HP:0001270,HP:0001265,HP:0001260,HP:0001263,HP:0001263,HP:0001257,HP:0002562,HP:0007381,HP:0001217,HP:0001373,HP:0001363,HP:0000028,HP:0008883,HP:0007495,HP:0007485,HP:0002673,HP:0001338,HP:0000007,HP:0007633,HP:0002705,HP:0006297,HP:0007587,HP:0000133,HP:0002750,HP:0002750,HP:0002719,HP:0002080,HP:0002066,HP:0002120,HP:0002119,HP:0002136,HP:0002197,HP:0010551,HP:0002217,HP:0002209,HP:0002299,HP:0002299,HP:0002293,HP:0007034,HP:0008391,HP:0008386,HP:0002342,HP:0009830,HP:0025066,HP:0001097,HP:4000007,HP:0000639,HP:0000639,HP:0000613,HP:0000608,HP:0000601,HP:0001903,HP:0000656,HP:0000670,HP:0004322,HP:0006970,HP:0003079,HP:0012760,HP:0004440,HP:0003139,HP:0045055,HP:0045055,HP:0045048,HP:0100275,HP:0000992,HP:0000992,HP:0000958,HP:0000958,HP:0000964,HP:0000938,HP:0008064,HP:0008064,HP:0000286,HP:0000280,HP:0000278,HP:0025548,HP:0001598,HP:0002828,HP:0000252,HP:0000252,HP:0002860,HP:0001537,HP:0001518,HP:0001511,HP:0006538,HP:0001618,HP:0002942,HP:0011001,HP:0011001,HP:0000320,HP:0000316,HP:0001629,HP:0001638,HP:0000483,HP:0000486,HP:0000482,HP:0000482,HP:0000411,HP:0001761,HP:0000519,HP:0000509,HP:0001809,HP:0001808,HP:0001807,HP:0000565,HP:0000565,HP:0000546,HP:0000545,HP:0001875	['MP:0005397', 'MP:0005376']	['HP:0000234', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0001608', 'HP:0004298', 'HP:0025354', 'HP:0000769', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0001371', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0009124', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005386'], ['MP:0005378'], ['MP:0005384'], ['MP:0010771'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005390'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005375'], ['MP:0010771'], ['MP:0005376']]
7615	GTF2F1	2962	Gtf2f1	MGI:1923848				['']	['']	[['']]
7616	GTF2F2	2963	Gtf2f2	MGI:1915955				['']	['']	[['']]
7617	GTF2H1	2965	Gtf2h1	MGI:1277216				['']	['']	[['']]
7618	GTF2H2	2966	Gtf2h2	MGI:1345669		MP:0011100		[]	['']	[['']]
7619	GTF2H2C	728340	Gtf2h2	MGI:1345669		MP:0011100		[]	['']	[['']]
7620	GTF2H2C_2	730394	Gtf2h2	MGI:1345669		MP:0011100		[]	['']	[['']]
7621	GTF2H3	2967	Gtf2h3	MGI:1277143		MP:0004738,MP:0013293,MP:0011100		['MP:0005377']	['']	[['']]
7622	GTF2H4	2968	Gtf2h4	MGI:1338799				['']	['']	[['']]
7623	GTF2H5	404672	Gtf2h5	MGI:107227		MP:0011085	HP:0008619,HP:0001197,HP:0410219,HP:0007266,HP:0007256,HP:0009886,HP:0001290,HP:0001276,HP:0001276,HP:0001249,HP:0001265,HP:0001260,HP:0001263,HP:0001263,HP:0001257,HP:0002562,HP:0007431,HP:0007381,HP:0008689,HP:0001217,HP:0001373,HP:0001363,HP:0000028,HP:0007495,HP:0007485,HP:0007479,HP:0001338,HP:0000007,HP:0007633,HP:0002705,HP:0006297,HP:0007587,HP:0000133,HP:0002750,HP:0002719,HP:0002719,HP:0002021,HP:0002080,HP:0002066,HP:0033134,HP:0002120,HP:0002119,HP:0002188,HP:0002197,HP:0010551,HP:0002245,HP:0003577,HP:0002209,HP:0002299,HP:0002299,HP:0002293,HP:0007034,HP:0011968,HP:0008391,HP:0008386,HP:0009830,HP:0001097,HP:4000007,HP:0000639,HP:0000613,HP:0000608,HP:0000601,HP:0000601,HP:0001903,HP:0000695,HP:0000656,HP:0000656,HP:0000670,HP:0000670,HP:0004322,HP:0006970,HP:0003079,HP:0012760,HP:0003139,HP:0045055,HP:0045055,HP:0003261,HP:0100275,HP:0000992,HP:0000992,HP:0000958,HP:0000964,HP:0000938,HP:0008064,HP:0008064,HP:0008069,HP:0000286,HP:0000280,HP:0000278,HP:0025548,HP:0001598,HP:0002828,HP:0000243,HP:0000252,HP:0002860,HP:0001537,HP:0001508,HP:0001511,HP:0001511,HP:0006538,HP:0001618,HP:0002942,HP:0000365,HP:0000369,HP:0011001,HP:0000320,HP:0000316,HP:0001629,HP:0001638,HP:0000483,HP:0000486,HP:0000482,HP:0012472,HP:0000411,HP:0000518,HP:0000519,HP:0000519,HP:0000509,HP:0001809,HP:0001808,HP:0001807,HP:0001888,HP:0000568,HP:0000565,HP:0000546,HP:0000545,HP:0001875,HP:0001875	[]	['HP:0000234', 'HP:0011968', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0001608', 'HP:0004298', 'HP:0025354', 'HP:0000769', 'HP:0001626', 'HP:0002664', 'HP:0001871', 'HP:0001371', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0009124', 'HP:0001438', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005386'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005386'], ['MP:0005378'], ['MP:0005384'], ['MP:0010771'], ['MP:0005385'], ['MP:0002006'], ['MP:0005397'], ['MP:0005390'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005375'], ['MP:0005378'], ['MP:0010771'], ['MP:0005376']]
7624	GTF2I	2969	Gtf2i	MGI:1202722		MP:0003205,MP:0002757,MP:0004251,MP:0000913,MP:0003873,MP:0002169,MP:0011098,MP:0000445,MP:0001147,MP:0003984,MP:0004557,MP:0011092,MP:0000449,MP:0011101,MP:0011102,MP:0000292,MP:0001923,MP:0001417,MP:0011192,MP:0009657,MP:0001265,MP:0001634,MP:0000914,MP:0004924,MP:0001698,MP:0000108,MP:0001363,MP:0001922,MP:0000428,MP:0001672,MP:0011184,MP:0003742	HP:0001181,HP:0001136,HP:0010880,HP:0001297,HP:0100817,HP:0001288,HP:0001252,HP:0001251,HP:0001249,HP:0001260,HP:0001257,HP:0001231,HP:0002575,HP:0008736,HP:0007372,HP:0008661,HP:0000089,HP:0000083,HP:0000093,HP:0000076,HP:0000075,HP:0000044,HP:0001387,HP:0001382,HP:0000023,HP:0000015,HP:0000014,HP:0001347,HP:0001361,HP:0000025,HP:0000028,HP:0007495,HP:0007477,HP:0000010,HP:0001337,HP:0001310,HP:0002637,HP:0002650,HP:0002644,HP:0002623,HP:0000179,HP:0000158,HP:0000154,HP:0000147,HP:0000121,HP:0000125,HP:0002750,HP:0002024,HP:0002020,HP:0002019,HP:0002017,HP:0002035,HP:0002027,HP:0003312,HP:0003307,HP:0005978,HP:0100539,HP:0100545,HP:0002071,HP:0002141,HP:0002150,HP:0002120,HP:0003422,HP:0002183,HP:0002167,HP:0010526,HP:0002253,HP:0002205,HP:0100785,HP:0010662,HP:0010669,HP:0007018,HP:0001052,HP:0002376,HP:0200021,HP:0100659,HP:0010807,HP:0100613,HP:0001081,HP:0008499,HP:0010780,HP:0002308,HP:0004969,HP:0004209,HP:0004295,HP:0005562,HP:0001969,HP:0000635,HP:0000632,HP:0000627,HP:0000682,HP:0000691,HP:0000689,HP:0000670,HP:0012639,HP:0000668,HP:0004322,HP:0004306,HP:0004305,HP:0003072,HP:0004381,HP:0004398,HP:0003028,HP:0100025,HP:0000767,HP:0000739,HP:0000716,HP:0000717,HP:0000722,HP:0000787,HP:0003119,HP:0004428,HP:0003198,HP:0003196,HP:0000826,HP:0000822,HP:0000821,HP:0003236,HP:0003298,HP:0000960,HP:0000939,HP:0000938,HP:0100240,HP:0008053,HP:0007720,HP:0000286,HP:0000280,HP:0000275,HP:0005113,HP:0002829,HP:0002808,HP:0000252,HP:0001582,HP:0000212,HP:0000232,HP:0001531,HP:0002857,HP:0001537,HP:0001513,HP:0000389,HP:0001609,HP:0001608,HP:0001618,HP:0006482,HP:0000368,HP:0001671,HP:0000343,HP:0011001,HP:0000337,HP:0002999,HP:0000348,HP:0000347,HP:0001647,HP:0001643,HP:0001642,HP:0001645,HP:0002974,HP:0001658,HP:0001653,HP:0001629,HP:0001626,HP:0001640,HP:0001639,HP:0001636,HP:0001635,HP:0000307,HP:0001631,HP:0001634,HP:0007957,HP:0005344,HP:0000407,HP:0000400,HP:0000486,HP:0000485,HP:0000464,HP:0012433,HP:0001763,HP:0000411,HP:0000431,HP:0000518,HP:0001822,HP:0000505,HP:0000501,HP:0001800,HP:0000581,HP:0000545	['MP:0005388', 'MP:0005386', 'MP:0005389', 'MP:0005378', 'MP:0005380', 'MP:0003631', 'MP:0005382', 'MP:0005384', 'MP:0005379', 'MP:0005385']	['HP:0000234', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0010880', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0002017', 'HP:0004298', 'HP:0001608', 'HP:0000464', 'HP:0012531', 'HP:0001626', 'HP:0002019', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001392', 'HP:0000818', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005380'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005381'], ['MP:0005378'], ['MP:0005386'], ['MP:0005378'], ['MP:0005386'], ['MP:0005385'], ['MP:0005381'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771'], ['MP:0005376']]
7625	GTF2IRD1	9569	Gtf2ird1	MGI:1861942		MP:0001722,MP:0001282,MP:0001402,MP:0005322,MP:0002757,MP:0020467,MP:0004251,MP:0000913,MP:0008019,MP:0001262,MP:0001513,MP:0003873,MP:0011098,MP:0001745,MP:0000445,MP:0001406,MP:0003717,MP:0005352,MP:0001454,MP:0003984,MP:0004376,MP:0004811,MP:0004557,MP:0000440,MP:0000160,MP:0003460,MP:0001219,MP:0002981,MP:0001447,MP:0001364,MP:0001441,MP:0000292,MP:0030098,MP:0003331,MP:0003743,MP:0002263,MP:0009657,MP:0001265,MP:0001399,MP:0003633,MP:0001891,MP:0008862,MP:0001634,MP:0004419,MP:0005534,MP:0001283,MP:0008819,MP:0001222,MP:0000914,MP:0004924,MP:0010043,MP:0001698,MP:0000108,MP:0001363,MP:0010166,MP:0003863,MP:0000120,MP:0003229,MP:0000428,MP:0001529,MP:0001431,MP:0003324,MP:0001732,MP:0004383,MP:0002065,MP:0000454,MP:0000607,MP:0000373,MP:0001413,MP:0008489,MP:0004443,MP:0010025,MP:0010053,MP:0003742,MP:0001405	HP:0001181,HP:0001136,HP:0010880,HP:0001297,HP:0100817,HP:0001288,HP:0001252,HP:0001251,HP:0001249,HP:0001260,HP:0001257,HP:0001231,HP:0002575,HP:0008736,HP:0007372,HP:0008661,HP:0000089,HP:0000083,HP:0000093,HP:0000076,HP:0000075,HP:0000044,HP:0001387,HP:0001382,HP:0000023,HP:0000015,HP:0000014,HP:0001347,HP:0001361,HP:0000025,HP:0000028,HP:0007495,HP:0007477,HP:0000010,HP:0001337,HP:0001310,HP:0002637,HP:0002650,HP:0002644,HP:0002623,HP:0000179,HP:0000158,HP:0000154,HP:0000147,HP:0000121,HP:0000125,HP:0002750,HP:0002024,HP:0002020,HP:0002019,HP:0002017,HP:0002035,HP:0002027,HP:0003312,HP:0003307,HP:0005978,HP:0100539,HP:0100545,HP:0002071,HP:0002141,HP:0002150,HP:0002120,HP:0003422,HP:0002183,HP:0002167,HP:0010526,HP:0002253,HP:0002205,HP:0100785,HP:0010662,HP:0010669,HP:0007018,HP:0001052,HP:0002376,HP:0200021,HP:0100659,HP:0010807,HP:0100613,HP:0001081,HP:0008499,HP:0010780,HP:0002308,HP:0004969,HP:0004209,HP:0004295,HP:0005562,HP:0001969,HP:0000635,HP:0000632,HP:0000627,HP:0000682,HP:0000691,HP:0000689,HP:0000670,HP:0012639,HP:0000668,HP:0004322,HP:0004306,HP:0004305,HP:0003072,HP:0004381,HP:0004398,HP:0003028,HP:0100025,HP:0000767,HP:0000739,HP:0000716,HP:0000717,HP:0000722,HP:0000787,HP:0003119,HP:0004428,HP:0003198,HP:0003196,HP:0000826,HP:0000822,HP:0000821,HP:0003236,HP:0003298,HP:0000960,HP:0000939,HP:0000938,HP:0100240,HP:0008053,HP:0007720,HP:0000286,HP:0000280,HP:0000275,HP:0005113,HP:0002829,HP:0002808,HP:0000252,HP:0001582,HP:0000212,HP:0000232,HP:0001531,HP:0002857,HP:0001537,HP:0001513,HP:0000389,HP:0001609,HP:0001608,HP:0001618,HP:0006482,HP:0000368,HP:0001671,HP:0000343,HP:0011001,HP:0000337,HP:0002999,HP:0000348,HP:0000347,HP:0001647,HP:0001643,HP:0001642,HP:0001645,HP:0002974,HP:0001658,HP:0001653,HP:0001629,HP:0001626,HP:0001640,HP:0001639,HP:0001636,HP:0001635,HP:0000307,HP:0001631,HP:0001634,HP:0007957,HP:0005344,HP:0000407,HP:0000400,HP:0000486,HP:0000485,HP:0000464,HP:0012433,HP:0001763,HP:0000411,HP:0000431,HP:0000518,HP:0001822,HP:0000505,HP:0000501,HP:0001800,HP:0000581,HP:0000545	['MP:0005388', 'MP:0005369', 'MP:0010771', 'MP:0005386', 'MP:0005390', 'MP:0005378', 'MP:0005375', 'MP:0005380', 'MP:0003631', 'MP:0005382', 'MP:0005376', 'MP:0002006', 'MP:0005370', 'MP:0005385']	['HP:0000234', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0010880', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0002017', 'HP:0004298', 'HP:0001608', 'HP:0000464', 'HP:0012531', 'HP:0001626', 'HP:0002019', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001392', 'HP:0000818', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005380'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005381'], ['MP:0005378'], ['MP:0005386'], ['MP:0005378'], ['MP:0005386'], ['MP:0005385'], ['MP:0005381'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771'], ['MP:0005376']]
7626	GTF2IRD2	84163	Gtf2ird2	MGI:2149780			HP:0001181,HP:0001136,HP:0010880,HP:0001297,HP:0100817,HP:0001288,HP:0001252,HP:0001251,HP:0001249,HP:0001260,HP:0001257,HP:0001231,HP:0002575,HP:0008736,HP:0007372,HP:0008661,HP:0000089,HP:0000083,HP:0000093,HP:0000076,HP:0000075,HP:0000044,HP:0001387,HP:0001382,HP:0000023,HP:0000015,HP:0000014,HP:0001347,HP:0001361,HP:0000025,HP:0000028,HP:0007495,HP:0007477,HP:0000010,HP:0001337,HP:0001310,HP:0002637,HP:0002650,HP:0002644,HP:0002623,HP:0000179,HP:0000158,HP:0000154,HP:0000147,HP:0000121,HP:0000125,HP:0002750,HP:0002024,HP:0002020,HP:0002019,HP:0002017,HP:0002035,HP:0002027,HP:0003312,HP:0003307,HP:0005978,HP:0100539,HP:0100545,HP:0002071,HP:0002141,HP:0002150,HP:0002120,HP:0003422,HP:0002183,HP:0002167,HP:0010526,HP:0002253,HP:0002205,HP:0100785,HP:0010662,HP:0010669,HP:0007018,HP:0001052,HP:0002376,HP:0200021,HP:0100659,HP:0010807,HP:0100613,HP:0001081,HP:0008499,HP:0010780,HP:0002308,HP:0004969,HP:0004209,HP:0004295,HP:0005562,HP:0001969,HP:0000635,HP:0000632,HP:0000627,HP:0000682,HP:0000691,HP:0000689,HP:0000670,HP:0012639,HP:0000668,HP:0004322,HP:0004306,HP:0004305,HP:0003072,HP:0004381,HP:0004398,HP:0003028,HP:0100025,HP:0000767,HP:0000739,HP:0000716,HP:0000717,HP:0000722,HP:0000787,HP:0003119,HP:0004428,HP:0003198,HP:0003196,HP:0000826,HP:0000822,HP:0000821,HP:0003236,HP:0003298,HP:0000960,HP:0000939,HP:0000938,HP:0100240,HP:0008053,HP:0007720,HP:0000286,HP:0000280,HP:0000275,HP:0005113,HP:0002829,HP:0002808,HP:0000252,HP:0001582,HP:0000212,HP:0000232,HP:0001531,HP:0002857,HP:0001537,HP:0001513,HP:0000389,HP:0001609,HP:0001608,HP:0001618,HP:0006482,HP:0000368,HP:0001671,HP:0000343,HP:0011001,HP:0000337,HP:0002999,HP:0000348,HP:0000347,HP:0001647,HP:0001643,HP:0001642,HP:0001645,HP:0002974,HP:0001658,HP:0001653,HP:0001629,HP:0001626,HP:0001640,HP:0001639,HP:0001636,HP:0001635,HP:0000307,HP:0001631,HP:0001634,HP:0007957,HP:0005344,HP:0000407,HP:0000400,HP:0000486,HP:0000485,HP:0000464,HP:0012433,HP:0001763,HP:0000411,HP:0000431,HP:0000518,HP:0001822,HP:0000505,HP:0000501,HP:0001800,HP:0000581,HP:0000545	['']	['HP:0000234', 'HP:0000079', 'HP:0001507', 'HP:0003011', 'HP:0002715', 'HP:0010880', 'HP:3000050', 'HP:0000078', 'HP:0040064', 'HP:0002017', 'HP:0004298', 'HP:0001608', 'HP:0000464', 'HP:0012531', 'HP:0001626', 'HP:0002019', 'HP:0000598', 'HP:0100790', 'HP:0000707', 'HP:0011024', 'HP:0000924', 'HP:0000708', 'HP:0000478', 'HP:0002086', 'HP:0001392', 'HP:0000818', 'HP:0001574', 'HP:0001939']	[['MP:0005382'], ['MP:0005367'], ['MP:0005378'], ['MP:0005369'], ['MP:0005387'], ['MP:0005380'], ['MP:0005382'], ['MP:0005389'], ['MP:0005371'], ['MP:0005381'], ['MP:0005378'], ['MP:0005386'], ['MP:0005378'], ['MP:0005386'], ['MP:0005385'], ['MP:0005381'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005381'], ['MP:0005390'], ['MP:0005386'], ['MP:0005391'], ['MP:0005388'], ['MP:0005370'], ['MP:0005379'], ['MP:0010771'], ['MP:0005376']]
7627	GTF2IRD2B	389524	Gtf2ird2	MGI:2149780				['']	['']	[['']]
7628	GTF3A	2971	Gtf3a	MGI:1913846				['']	['']	[['']]
7629	GTF3C1	2975	Gtf3c1	MGI:107887		MP:0006204,MP:0011100		[]	['']	[['']]
7630	GTF3C2	2976	Gtf3c2	MGI:1919002				['']	['']	[['']]
7631	GTF3C3	9330	Gtf3c3	MGI:2138383				['']	['']	[['']]
7632	GTF3C4	9329	Gtf3c4	MGI:2138937				['']	['']	[['']]
7633	GTF3C5	9328	Gtf3c5	MGI:1917489				['']	['']	[['']]
7634	GTF3C6	112495	Gtf3c6	MGI:1914621				['']	['']	[['']]
7635	GTPBP1	9567	Gtpbp1	MGI:109443		MP:0002169		[]	['']	[['']]
7636	GTPBP10	85865	Gtpbp10	MGI:2385599		MP:0002626,MP:0001312,MP:0005553,MP:0002098,MP:0002591,MP:0001303,MP:0005564,MP:0013278,MP:0010052,MP:0010123,MP:0005641		['MP:0005390', 'MP:0005376', 'MP:0005386', 'MP:0010771', 'MP:0005397', 'MP:0005391', 'MP:0005385']	['']	[['']]
7637	GTPBP2	54676	Gtpbp2	MGI:1860138		MP:0001415,MP:0002792,MP:0011110,MP:0001399,MP:0000702	HP:0001188,HP:0002460,HP:0001270,HP:0001252,HP:0001249,HP:0001266,HP:0001263,HP:0002540,HP:0001387,HP:0001382,HP:0001348,HP:0001332,HP:0001324,HP:0000007,HP:0001337,HP:0001310,HP:0001305,HP:0002650,HP:0002069,HP:0002066,HP:0002079,HP:0002136,HP:0003593,HP:0002213,HP:0002299,HP:0006855,HP:0000648,HP:0011344,HP:0000653,HP:0000768,HP:0011463,HP:0003196,HP:0033048,HP:0033049,HP:0045075,HP:0034353,HP:0008070,HP:0002808,HP:0000252,HP:0000207,HP:0001508,HP:0000369,HP:0000341,HP:0005280,HP:0000411,HP:0001762,HP:0000518,HP:0000505,HP:0000545	['MP:0005386', 'MP:0005391', 'MP:0005385', 'MP:0005387']	['HP:0000234', 'HP:0000598', 'HP:0001507', 'HP:0000707', 'HP:0003011', 'HP:0000924', 'HP:0000478', 'HP:0040064', 'HP:0001574']	[['MP:0005382'], ['MP:0005377'], ['MP:0005378'], ['MP:0003631'], ['MP:0005369'], ['MP:0005390'], ['MP:0005391'], ['MP:0005371'], ['MP:0010771']]
7638	GTPBP3	84705	Gtpbp3	MGI:1917609		MP:0001711,MP:0002836,MP:0005031,MP:0011110	HP:0002415,HP:0001256,HP:0001250,HP:0001250,HP:0001252,HP:0001263,HP:0001263,HP:0008872,HP:0000007,HP:0008947,HP:0100543,HP:0003388,HP:0002151,HP:0011923,HP:0011923,HP:0003593,HP:0003577,HP:0008347,HP:0008347,HP:0011968,HP:0003688,HP:0003623,HP:0003621,HP:0012696,HP:0012666,HP:0012747,HP:0012751,HP:0000707,HP:0011463,HP:0012763,HP:0003128,HP:0003128,HP:0010307,HP:0000961,HP:0011675,HP:0002878,HP:0001508,HP:0001508,HP:0001511,HP:0001667,HP:0001644,HP:0001639,HP:0001639,HP:0001635,HP:0001635,HP:0001716,HP:0001712,HP:0000505,HP:0000505	['MP:0005380']	['HP:0011968', 'HP:0001507', 'HP:0000707', 'HP:0003011', 'HP:0002086', 'HP:0000478', 'HP:0001574', 'HP:0025354', 'HP:0001626', 'HP:0001939']	[['MP:0005386'], ['MP:0005378'], ['MP:0003631'], ['MP:0005369'], ['MP:0005388'], ['MP:0005391'], ['MP:0010771'], ['MP:0005384'], ['MP:0005385'], ['MP:0005376']]
7639	GTPBP4	23560	Gtpbp4	MGI:1916487		MP:0014259,MP:0003694,MP:0005562,MP:0002591,MP:0011100,MP:0013292,MP:0002075		['MP:0010771', 'MP:0005397', 'MP:0005380']	['']	[['']]
7640	GTPBP6	8225	Gtpbp6	MGI:1306825		MP:0011110		[]	['']	[['']]
7641	GTPBP8	29083	Gtpbp8	MGI:1913317				['']	['']	[['']]
7642	GTSE1	51512	Gtse1	MGI:1352755				['']	['']	[['']]
7643	GTSF1	121355	Gtsf1	MGI:1921424		MP:0014052,MP:0008261,MP:0001925,MP:0005578,MP:0001147,MP:0002687		['MP:0005379', 'MP:0005384', 'MP:0005389']	['']	[['']]
