	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
6609	IL12B	3593	Il12b	MGI:96540	MP:0008578,MP:0008092,MP:0003306,MP:0030466,MP:0005465,MP:0005293,MP:0008672,MP:0005027,MP:0001861,MP:0010766,MP:0002412,MP:0005463,MP:0002462,MP:0008567,MP:0008555,MP:0005070,MP:0002451,MP:0008682,MP:0005616,MP:0003945,MP:0009788,MP:0004392,MP:0004502,MP:0008722,MP:0009766	HP:0003326,HP:0100576,HP:0001654,HP:0002793,HP:0004306,HP:0002721,HP:0002167,HP:0002829,HP:0002076,HP:0001369,HP:0001324,HP:0001903,HP:0001639,HP:0002633,HP:0012649,HP:0020086,HP:0002092,HP:0001646,HP:0005244,HP:0100533,HP:0004372,HP:0000822,HP:0004970,HP:0001945,HP:0002637,HP:0012378,HP:0001482,HP:0000488,HP:0100758,HP:0100735,HP:0100749,HP:0100545,HP:0002105,HP:0000975,HP:0001250,HP:0001658,HP:0002039,HP:0002617,HP:0200042,HP:0001824	2960,5686,3376,365,1101,3334,404,1903,1577,1090,2937,1546,3582,5531,4378,440,3988,5130,6574,1980,679,2325,778,734,2249	3846,481,3093,2751,2453,3738,2929,1422,2472,4330,4890,4139,3083,822,2757,339,3235,510,5286,4817,2962,127,3656,217,3315,2403,3026,5244,947,1137,1882,5245,4512,3429,3492,3006,3873,3324,2040,158	25	40
6610	IL12RB1	3594	Il12rb1	MGI:104579	MP:0003945,MP:0011962,MP:0008578,MP:0008567,MP:0002435,MP:0010025,MP:0011239,MP:0002874	HP:0002719,HP:0005401,HP:0012203,HP:0032283,HP:0002721,HP:0011040,HP:0002090,HP:0020105,HP:0005661,HP:0001394,HP:0003261,HP:0001409,HP:0011971,HP:0001402,HP:0003124,HP:0011117,HP:0002613,HP:0002360,HP:0001278,HP:0003270,HP:0000952,HP:0011274,HP:0002480,HP:0003119,HP:0001114,HP:0002608,HP:0003493,HP:0001541,HP:0000939,HP:0002040,HP:0000989,HP:0030167,HP:0003496,HP:0001744,HP:0002840,HP:0002240,HP:0003073,HP:0000820,HP:0004386,HP:0012378,HP:0002742,HP:0001262,HP:0002908,HP:0032256,HP:0001395,HP:0002841,HP:0032249,HP:0002570,HP:0200029,HP:0000953,HP:0007408,HP:0003155,HP:0020087,HP:0012115,HP:0002960,HP:0030948	1980,3838,2960,5531,4654,2276,1076,1289	2809,4707,1637,3231,3738,32,3844,4500,3844,1574,5523,36,4900,724,1914,1614,1278,2752,761,331,3935,190,2630,2875,1683,2192,780,3479,1876,36,5504,2941,3231,1607,740,4950,3267,521,754,2403,1201,843,32,617,4471,665,1637,3062,617,3667,32,4156,3061,2528,1068,1891	8	49
6611	IL12RB2	3595	Il12rb2	MGI:1270861	MP:0001860,MP:0008617,MP:0004794,MP:0010144,MP:0010766,MP:0002412,MP:0008879,MP:0003448,MP:0008699,MP:0008705,MP:0008217,MP:0002462,MP:0008567,MP:0008714,MP:0002376,MP:0000688,MP:0003447,MP:0002451,MP:0001870,MP:0013367,MP:0001828,MP:0003945,MP:0010286,MP:0001819,MP:0002743		1319,6082,1287,2246,1090,2937,649,5821,833,1471,2045,3582,5531,558,1537,736,129,3988,1078,649,2445,1980,6872,6418,1993		24	
6612	IL13	3596	Il13	MGI:96541	MP:0010239,MP:0008719,MP:0005596,MP:0005011,MP:0008092,MP:0003449,MP:0008698,MP:0010180,MP:0005027,MP:0008703,MP:0008091,MP:0008566,MP:0005166,MP:0008495,MP:0008700,MP:0002500,MP:0005026,MP:0005463,MP:0010751,MP:0009482,MP:0006269,MP:0011014,MP:0002442,MP:0005351,MP:0001556,MP:0008500,MP:0001876,MP:0004751,MP:0001790,MP:0008567,MP:0005282,MP:0001263,MP:0008712,MP:0008609,MP:0001793,MP:0003884,MP:0008721,MP:0004800,MP:0008501,MP:0010750,MP:0012574,MP:0005466,MP:0005164,MP:0009333,MP:0002451,MP:0005671,MP:0008723,MP:0008673,MP:0002492,MP:0002531,MP:0002270,MP:0008115,MP:0005575,MP:0002494,MP:0002455,MP:0001805,MP:0001835,MP:0002411,MP:0008568,MP:0005012,MP:0008661,MP:0006050	HP:0032933,HP:4000007,HP:0002099	1849,3348,5899,4876,5686,4497,3736,1008,1903,708,6571,2266,4419,2459,708,4950,2542,1546,2987,4508,881,2404,6333,2312,3300,1744,3818,6291,4185,5531,1426,2108,6670,646,5061,3049,958,1225,646,1986,1712,590,2713,4880,3988,1387,5490,47,1710,5030,2932,3842,2008,1553,367,199,1529,3567,5222,1783,499,6036	3033,1854,2430	60	3
6613	IL13RA1	3597	Il13ra1	MGI:105052	MP:0001602,MP:0008502,MP:0005025,MP:0005026,MP:0000704,MP:0005011,MP:0002335,MP:0002495,MP:0005466,MP:0008499,MP:0008626,MP:0003957,MP:0008090,MP:0002492,MP:0008074		2152,6856,2791,2542,6829,4876,1461,2333,590,3444,5439,169,3670,1710,655		15	
6614	IL13RA2	3598	Il13ra2	MGI:1277954	MP:0008734,MP:0002497,MP:0008700,MP:0008501,MP:0008660,MP:0008973,MP:0002495,MP:0005165,MP:0005628,MP:0030002,MP:0002451,MP:0008500,MP:0002398,MP:0020344,MP:0008609,MP:0008566		4279,1296,708,646,2966,1492,2333,3445,3612,4529,3988,1744,951,1022,646,2266		15	
6615	IL15	3600	Il15	MGI:103014	MP:0008827,MP:0009338,MP:0008045,MP:0008038,MP:0004794,MP:0008079,MP:0005293,MP:0003995,MP:0005027,MP:0008050,MP:0002217,MP:0004974,MP:0008047,MP:0008500,MP:0008567,MP:0001790,MP:0002083,MP:0001793,MP:0002619,MP:0010052,MP:0002376,MP:0008501,MP:0020519,MP:0001262,MP:0005070,MP:0008080,MP:0001513,MP:0008470,MP:0003009,MP:0005616,MP:0004801,MP:0008040,MP:0003845,MP:0031034,MP:0031026,MP:0008499,MP:0008127,MP:0001805,MP:0009789,MP:0008664,MP:0000274,MP:0000685,MP:0002460,MP:0004392,MP:0008568,MP:0000220,MP:0001806,MP:0008363,MP:0008053		3805,4748,2719,5620,1287,2203,3334,1395,1903,5538,300,4536,4536,1744,5531,4185,3221,5061,403,3840,1537,646,1690,828,440,2173,2928,155,2371,6574,1339,866,2492,6523,1071,3444,7049,199,3235,4762,3465,1395,2199,2325,5222,2267,1599,5926,2562		47	
6616	IL15RA	3601	Il15ra	MGI:104644	MP:0005094,MP:0008045,MP:0008079,MP:0008101,MP:0008050,MP:0010766,MP:0003944,MP:0001790,MP:0002444,MP:0009541,MP:0005348,MP:0005070,MP:0008687,MP:0006412,MP:0008363,MP:0001828,MP:0008040,MP:0005095,MP:0008083,MP:0008074,MP:0008053		6419,2719,2203,7065,5538,1090,611,4185,974,1634,1242,440,865,4747,5926,2445,866,1719,1704,655,2562		21	
6617	IL16	3603	Il16	MGI:1270855	MP:0002444		974		1	
6618	IL17A	3605	Il17a	MGI:107364	MP:0000601,MP:0005362,MP:0008496,MP:0003561,MP:0008873,MP:0001194,MP:0004794,MP:0001859,MP:0000691,MP:0009787,MP:0008481,MP:0002499,MP:0002412,MP:0008751,MP:0008495,MP:0002742,MP:0002989,MP:0008346,MP:0008500,MP:0003747,MP:0008567,MP:0001790,MP:0008874,MP:0002435,MP:0005350,MP:0008075,MP:0002083,MP:0000623,MP:0002135,MP:0020421,MP:0008498,MP:0004800,MP:0008501,MP:0000222,MP:0005348,MP:0004802,MP:0001876,MP:0002492,MP:0008682,MP:0001866,MP:0008348,MP:0008770,MP:0005090,MP:0005616,MP:0008097,MP:0003436,MP:0008499,MP:0000598,MP:0002743,MP:0001805,MP:0004762,MP:0008537,MP:0002460,MP:0011091,MP:0000689,MP:0001806,MP:0008497		3423,2798,2357,7079,1255,2482,1287,1005,5442,4336,105,5158,2937,1137,2459,4284,6,2326,1744,172,5531,4185,3478,4654,2619,1772,3221,658,341,4822,3802,1225,646,379,1242,199,3818,1710,5130,172,2187,648,1522,6574,3657,1494,3444,1856,1993,199,1002,2348,2199,376,1499,1599,2714		55	
6619	IL17B	27190	Il17b	MGI:1928397	MP:0002412,MP:0000219,MP:0008700,MP:0008705,MP:0005011,MP:0011078,MP:0008713,MP:0008657,MP:0008537,MP:0008560,MP:0008090,MP:0008568,MP:0008672,MP:0010180,MP:0008722,MP:0008702		2937,887,708,1471,4876,5575,391,789,2348,3532,3670,5222,404,1008,734,833		16	
6620	IL17C	27189	Il17c	MGI:2446486	MP:0004800,MP:0001216,MP:0008567,MP:0008874,MP:0001193,MP:0009584,MP:0008075,MP:0008682		1225,430,5531,3478,4572,5503,1772,5130		8	
6621	IL17D	53342	Il17d	MGI:2446510						
6622	IL17F	112744	Il17f	MGI:2676631	MP:0005087,MP:0003561,MP:0009787,MP:0002499,MP:0002412,MP:0002742,MP:0008346,MP:0008500,MP:0003747,MP:0001790,MP:0002435,MP:0008539,MP:0008498,MP:0004800,MP:0008501,MP:0005348,MP:0001866,MP:0008348,MP:0008682,MP:0008499	HP:0002719,HP:0002715,HP:0008872,HP:0000682,HP:0004306,HP:0000962,HP:0004370,HP:0000790,HP:0000988,HP:0008388,HP:0200034,HP:0001597,HP:0030016,HP:0000159,HP:0010783,HP:0001821,HP:0000989,HP:0000504,HP:0012735,HP:0001231,HP:0002728,HP:0000142,HP:0000478,HP:0002105,HP:0000153,HP:0001250,HP:0000951,HP:0100825,HP:0000010,HP:0002205,HP:0012115,HP:0200042	5400,7079,4336,5158,2937,4284,2326,1744,172,4185,4654,3298,3802,1225,646,1242,172,2187,5130,3444	2809,268,2189,517,2453,2505,5116,1982,1067,922,3170,1735,1483,3291,1645,1103,5504,1715,2727,2524,3862,2923,1894,4512,5446,3492,2102,1650,2168,4960,2528,2040	19	32
6623	IL17RA	23765	Il17ra	MGI:107399	MP:0000601,MP:0010219,MP:0008719,MP:0008092,MP:0003828,MP:0001120,MP:0001126,MP:0008705,MP:0002406,MP:0008346,MP:0001876,MP:0008671,MP:0001193,MP:0008712,MP:0002060,MP:0004947,MP:0001406,MP:0000222,MP:0003447,MP:0008111,MP:0002574,MP:0010053,MP:0008682,MP:0001417,MP:0008681,MP:0008701,MP:0000598,MP:0008568,MP:0008074	HP:0002719,HP:0002715,HP:0008872,HP:0011370,HP:0025084,HP:0000682,HP:0004332,HP:0004306,HP:0004370,HP:0002090,HP:0000790,HP:0000962,HP:0001581,HP:0000988,HP:0200039,HP:0031409,HP:0009098,HP:0033605,HP:0008388,HP:0200034,HP:0011108,HP:0011132,HP:0002837,HP:0001597,HP:0030016,HP:0000159,HP:0000964,HP:0010783,HP:0001821,HP:0000989,HP:0000504,HP:0012735,HP:0001231,HP:0002728,HP:0031292,HP:0000142,HP:0000403,HP:0000478,HP:0002105,HP:0000153,HP:0001250,HP:0000951,HP:0100825,HP:0000010,HP:0002726,HP:0002205,HP:0012115,HP:0200042	3423,5282,3348,5686,1673,1346,2034,1471,4591,2326,3818,1673,4572,6670,2028,4338,3748,379,129,4751,1454,1768,5130,3197,6840,1346,1856,5222,655	2809,268,2189,2395,4516,517,56,2453,5116,3844,1982,2505,1171,1067,1315,4533,801,3438,922,3170,4572,4825,3287,1735,1483,3291,2468,1645,1103,5504,1715,2727,2524,3862,631,2923,1855,1894,4512,5446,3492,2102,1650,2168,140,4960,2528,2040	27	48
6624	IL17RB	55540	Il17rb	MGI:1355292	MP:0005027,MP:0008040,MP:0008396,MP:0002335,MP:0001876,MP:0008703,MP:0008722,MP:0008706,MP:0008673,MP:0010181,MP:0008682,MP:0002492,MP:0005012,MP:0008568,MP:0008539,MP:0008661,MP:0008712		1903,866,2650,1461,3818,708,734,1246,47,4093,5130,1710,1783,5222,3298,499,6670		17	
6625	IL17RC	84818	Il17rc	MGI:2159336	MP:0008681,MP:0004800,MP:0001126,MP:0002644,MP:0002092,MP:0002989,MP:0001876,MP:0000691,MP:0002135,MP:0001258,MP:0000689,MP:0008721	HP:0002719,HP:0002715,HP:0008872,HP:0000682,HP:0004306,HP:0012203,HP:0000962,HP:0004370,HP:0000790,HP:0000988,HP:0008388,HP:0200034,HP:0033351,HP:0001597,HP:0030016,HP:0000159,HP:0010783,HP:0001821,HP:0000989,HP:0000504,HP:0012735,HP:0001231,HP:0011107,HP:0002728,HP:0000142,HP:0000478,HP:0002105,HP:0000153,HP:0001250,HP:0000951,HP:0100825,HP:0000010,HP:0002205,HP:0012115,HP:0200042	6840,1225,2034,1450,1508,6,3818,5442,341,4150,1499,958	2809,268,2189,517,2453,1637,2505,5116,1982,1067,922,3170,2805,1735,1483,3291,1645,1103,5504,1715,2727,2524,156,3862,2923,1894,4512,5446,3492,2102,1650,2168,4960,2528,2040	12	35
6626	IL17RD	54756	Il17rd	MGI:2159727	MP:0000849,MP:0003921,MP:0012490,MP:0011967	HP:0004409,HP:0002757,HP:0000551,HP:0008197,HP:0000008,HP:0002750,HP:0000407,HP:0000044,HP:0100639,HP:0000104,HP:0001608,HP:0000771,HP:0000508,HP:0000028,HP:0003187,HP:0001324,HP:0003164,HP:0008064,HP:0000938,HP:0004349,HP:0001763,HP:0001337,HP:0030016,HP:0010550,HP:0001513,HP:0000144,HP:0000939,HP:0001260,HP:0000164,HP:0000786,HP:0002652,HP:0009804,HP:0001761,HP:0001288,HP:0001252,HP:0000505,HP:0001335,HP:0000458,HP:0030680,HP:0000135,HP:0000054,HP:0000365,HP:0000823,HP:0008734,HP:0001250,HP:0008736,HP:0001251,HP:0000639,HP:0000830,HP:0000175	411,1363,4839,715	3952,297,1025,2525,41,3249,2507,1021,5388,1941,2458,2714,136,1396,35,4890,2458,51,3016,2541,1147,3641,1483,4894,2633,2882,1876,2855,289,3974,5254,3347,1670,3890,2755,5235,5234,2001,2391,2496,3397,174,4218,3684,3492,3085,3140,3119,1946,4699	4	49
6627	IL17RE	132014	Il17re	MGI:1889371	MP:0002412,MP:0009788,MP:0003449,MP:0003453,MP:0008537,MP:0001193,MP:0004842,MP:0010180		2937,679,4497,360,2348,4572,4058,1008		8	
6628	IL18	3606	Il18	MGI:107936	MP:0005425,MP:0002792,MP:0008578,MP:0008553,MP:0000465,MP:0005465,MP:0001873,MP:0006185,MP:0010377,MP:0005027,MP:0008908,MP:0005290,MP:0002412,MP:0008751,MP:0008495,MP:0008597,MP:0008567,MP:0003957,MP:0008752,MP:0003921,MP:0008002,MP:0008037,MP:0002083,MP:0000008,MP:0001856,MP:0008734,MP:0000219,MP:0008561,MP:0008636,MP:0008750,MP:0005070,MP:0008126,MP:0008713,MP:0002451,MP:0005044,MP:0004890,MP:0005458,MP:0008044,MP:0002492,MP:0008720,MP:0003212,MP:0001845,MP:0001433,MP:0006058,MP:0005598,MP:0008537,MP:0002411,MP:0000136		2254,5753,2960,2320,4568,1101,796,5753,6647,1903,6200,532,2937,1137,2459,4160,5531,169,830,1363,731,1417,3221,625,6513,4279,887,1185,6780,4027,440,340,391,3988,4833,2396,994,1410,1710,4722,731,511,3377,651,1630,2348,3567,2790		46	
6629	IL18BP	10068	Il18bp	MGI:1333800	MP:0005425,MP:0008045,MP:0000691,MP:0012768,MP:0008251,MP:0011890,MP:0010209,MP:0011075,MP:0008567,MP:0008635,MP:0001263,MP:0008577,MP:0005014,MP:0005152,MP:0013672,MP:0002941,MP:0002339,MP:0013667,MP:0000599,MP:0000220,MP:0000689,MP:0008053	HP:0004787,HP:0000872,HP:0002018,HP:0004396,HP:0100651,HP:0000952,HP:0000225,HP:0012378,HP:0001259,HP:0002240,HP:0002910	2254,2719,5442,5005,5531,5347,808,3607,5531,6166,2108,2401,4124,2130,1282,940,2677,1282,1393,2267,1499,2562	3576,991,133,1733,1292,3935,1204,2403,854,4950,1010	20	11
6630	IL18R1	8809	Il18r1	MGI:105383	MP:0005070,MP:0005465,MP:0008567,MP:0005333,MP:0010506		440,1101,5531,1305,4983		5	
6631	IL18RAP	8807	Il18rap	MGI:1338888	MP:0003009,MP:0008935,MP:0001925,MP:0002442,MP:0011960,MP:0002073,MP:0001417		2371,1514,3243,6333,5564,1167,3197		7	
6632	IL19	29949	Il19	MGI:1890472	MP:0013956,MP:0008705,MP:0008663,MP:0013298,MP:0008657,MP:0008537,MP:0008560,MP:0008706,MP:0008673,MP:0010180,MP:0008566,MP:0008661		6393,1471,3017,5909,789,2348,3532,1246,47,1008,2266,499		12	
6633	IL1A	3552	Il1a	MGI:96542	MP:0005616,MP:0002665,MP:0004800,MP:0008642,MP:0000219,MP:0008719,MP:0005419,MP:0001845,MP:0001194,MP:0008658,MP:0010144,MP:0001488,MP:0000208,MP:0002875,MP:0002874,MP:0001273,MP:0008639,MP:0003829		6574,676,1225,812,887,3348,2053,511,2482,912,2246,3449,2051,2433,1289,1010,812,4312		17	
6634	IL1B	3553	Il1b	MGI:96543	MP:0002665,MP:0002410,MP:0005087,MP:0008719,MP:0001194,MP:0010144,MP:0008639,MP:0002412,MP:0008700,MP:0005166,MP:0000953,MP:0004883,MP:0030524,MP:0008704,MP:0001876,MP:0009764,MP:0008567,MP:0001273,MP:0000920,MP:0003829,MP:0008688,MP:0020941,MP:0004800,MP:0008561,MP:0003447,MP:0002451,MP:0005616,MP:0003945,MP:0009788,MP:0008642,MP:0005167,MP:0004824,MP:0031041,MP:0008658,MP:0008831	HP:0012126,HP:0410067	676,444,5400,3348,2482,2246,812,2937,708,4419,2164,69,477,4268,3818,3889,5531,1010,1983,4312,1321,4897,1225,1185,129,3988,6574,1980,679,812,3660,7034,2482,912,4079	248,5472	33	2
6635	IL1F10	84639	Il1f10	MGI:2652548						
6636	IL1R1	3554	Il1r1	MGI:96545	MP:0009286,MP:0005190,MP:0005293,MP:0001861,MP:0005018,MP:0013754,MP:0008635,MP:0005331,MP:0001314,MP:0002060,MP:0001364,MP:0005566,MP:0008561,MP:0004804,MP:0009453,MP:0001862,MP:0003053,MP:0000217,MP:0003724,MP:0013251,MP:0002460,MP:0005012,MP:0010762,MP:0000691,MP:0006194,MP:0001501,MP:0006087,MP:0009304,MP:0003068,MP:0005449,MP:0008880,MP:0002135,MP:0001346,MP:0010378,MP:0005341,MP:0004947,MP:0003829,MP:0008734,MP:0004994,MP:0005554,MP:0004800,MP:0004992,MP:0000222,MP:0009292,MP:0004822,MP:0005634,MP:0008706,MP:0005460,MP:0001257,MP:0005616,MP:0009788,MP:0003212,MP:0008087,MP:0002843,MP:0020420,MP:0008537,MP:0000274,MP:0000689,MP:0009285,MP:0008719,MP:0002724,MP:0004042,MP:0002463,MP:0005590,MP:0012164,MP:0008636,MP:0009766,MP:0003025,MP:0000313,MP:0005458,MP:0008720,MP:0000223,MP:0003436,MP:0011020,MP:0008838,MP:0003638,MP:0008657,MP:0000249,MP:0002865,MP:0004502,MP:0000266,MP:0003020,MP:0031233,MP:0001260,MP:0009298,MP:0008553,MP:0001337,MP:0002412,MP:0008597,MP:0004883,MP:0020913,MP:0001263,MP:0008721,MP:0001402,MP:0005669,MP:0004702,MP:0005044,MP:0003959,MP:0002981,MP:0010220,MP:0005016,MP:0006000,MP:0005095,MP:0002079,MP:0001845,MP:0010024,MP:0003179,MP:0008596,MP:0002272,MP:0008641	HP:0002653,HP:0003565,HP:0001945,HP:0100847,HP:0002754	3823,6779,3334,1577,2014,2905,6166,3419,1875,2028,3153,4805,1185,4365,5330,2907,5970,2653,3824,1886,2199,1783,5912,5442,1875,5658,3672,2263,3193,1075,653,341,6628,4045,2703,4338,4312,4279,906,764,1225,1256,379,6804,4638,2399,1246,3715,1658,6574,679,731,7039,5983,3135,2348,3465,1499,212,3348,324,3446,3517,3367,6795,6780,2249,2304,2872,994,4722,3530,1494,5751,5859,3292,789,1335,4233,778,184,6641,3678,6584,4528,2320,892,2937,4160,69,462,2108,958,1024,1901,3005,4833,2311,1780,3727,2269,754,1719,939,511,2062,1073,1845,43,1035	3316,1646,217,723,1338	109	5
6637	IL1R2	7850	Il1r2	MGI:96546	MP:0004738,MP:0010052		5756,3840		2	
6638	IL1RAP	3556	Il1rap	MGI:104975	MP:0002060,MP:0008706		2028,1246		2	
6639	IL1RAPL1	11141	Il1rapl1	MGI:2687319	MP:0000889,MP:0002206,MP:0002945,MP:0003107,MP:0003461	HP:0000486,HP:0002342,HP:0000678,HP:0000752,HP:0000316,HP:0003196,HP:0000582,HP:0000664,HP:0001250,HP:0100710,HP:0000194,HP:0001382,HP:0010804,HP:0000717,HP:0009909,HP:0000303,HP:0001611,HP:0000053	1337,3848,3875,4657,2309	1064,2859,3203,3303,3838,2239,3514,1410,3492,3134,1789,1948,2338,581,3153,2594,1634,3391	5	18
6640	IL1RAPL2	26280	Il1rapl2	MGI:1913106						
6641	IL1RL1	9173	Il1rl1	MGI:98427	MP:0005027,MP:0008700,MP:0005025,MP:0002500,MP:0005011,MP:0005466,MP:0004761,MP:0008568,MP:0002465,MP:0002492,MP:0008703,MP:0005012		1903,708,2791,4950,4876,590,2460,5222,2704,1710,708,1783		11	
6642	IL1RL2	8808	Il1rl2	MGI:1913107	MP:0000221,MP:0004973,MP:0011075,MP:0004924,MP:0001399,MP:0008874,MP:0008347,MP:0008712,MP:0001364,MP:0002060,MP:0008539,MP:0003884,MP:0001402,MP:0002376,MP:0002092,MP:0000222,MP:0008682,MP:0002339,MP:0020870		1291,1155,3607,2437,3358,3478,6928,6670,3153,2028,3298,3049,1024,1537,1508,379,5130,2677,2362		19	
6643	IL1RN	3557	Il1rn	MGI:96547	MP:0001777,MP:0003561,MP:0001219,MP:0008592,MP:0006135,MP:0002499,MP:0005179,MP:0008566,MP:0002500,MP:0001732,MP:0008705,MP:0004883,MP:0001216,MP:0003453,MP:0004111,MP:0001193,MP:0009862,MP:0001243,MP:0002083,MP:0002434,MP:0001921,MP:0004947,MP:0002432,MP:0010139,MP:0008735,MP:0003427,MP:0001262,MP:0005348,MP:0001212,MP:0010760,MP:0003711,MP:0008115,MP:0002722,MP:0008681,MP:0003436,MP:0001230,MP:0005088,MP:0031234,MP:0008657,MP:0003279,MP:0001245,MP:0002411,MP:0003724,MP:0008596,MP:0008125,MP:0002433,MP:0008722	HP:0410067,HP:0000904,HP:0000962,HP:0012126,HP:0002797,HP:0000988,HP:0200039,HP:0002829,HP:0025615,HP:0002206,HP:0002098,HP:0003565,HP:0000938,HP:0002754,HP:0001386,HP:0011897,HP:0001744,HP:0002240,HP:0025092,HP:0040165,HP:0025116,HP:0010280,HP:0000885,HP:0002949,HP:0011227,HP:0001270,HP:0001531	2066,7079,2114,734,2174,5158,181,2266,4950,2686,1471,69,430,360,6630,4572,5334,3102,3221,4467,2181,4338,691,5480,1327,6512,828,1242,113,5610,3247,3842,2058,6840,1494,5807,4540,1845,789,2644,4415,3567,3824,1845,4308,5038,734	5472,2128,2505,248,4164,1067,1315,1422,3388,871,533,1646,3016,1338,1214,838,1607,4950,2657,248,1728,4099,150,2355,1672,3251,3719	45	26
6644	IL2	3558	Il2	MGI:96548	MP:0000493,MP:0010219,MP:0001860,MP:0008578,MP:0009338,MP:0003449,MP:0005344,MP:0001861,MP:0002424,MP:0008466,MP:0003850,MP:0002594,MP:0009335,MP:0001665,MP:0008500,MP:0004751,MP:0005350,MP:0005150,MP:0001853,MP:0000613,MP:0013795,MP:0005092,MP:0001864,MP:0004827,MP:0000512,MP:0001846,MP:0008088,MP:0002429,MP:0020912,MP:0005078,MP:0000717,MP:0000691,MP:0004946,MP:0008880,MP:0008076,MP:0009517,MP:0002436,MP:0005348,MP:0005070,MP:0008186,MP:0000702,MP:0002816,MP:0008102,MP:0010169,MP:0000491,MP:0000172,MP:0001870,MP:0008476,MP:0000488,MP:0002957,MP:0000689,MP:0000693,MP:0003293,MP:0005015,MP:0005094,MP:0001577,MP:0004973,MP:0008349,MP:0005463,MP:0002425,MP:0005561,MP:0002619,MP:0001829,MP:0008078,MP:0008177,MP:0008501,MP:0004803,MP:0005154,MP:0001869,MP:0005090,MP:0002497,MP:0003945,MP:0006387,MP:0002493,MP:0008074,MP:0005079,MP:0005089,MP:0005010,MP:0003132,MP:0010210,MP:0004816,MP:0008615,MP:0000604,MP:0004974,MP:0010954,MP:0008609,MP:0002083,MP:0000623,MP:0002495,MP:0001505,MP:0008082,MP:0005036,MP:0005671,MP:0003304,MP:0001828,MP:0008603,MP:0008097,MP:0005095,MP:0008499,MP:0008614,MP:0005042,MP:0001805,MP:0008401,MP:0000208		51,5282,1319,2960,4748,4497,3397,1577,4821,7080,2355,338,4032,51,1744,6291,2619,2979,2024,3520,2282,4520,4619,3444,1020,1692,4029,386,4101,3104,3179,5442,57,653,2858,2341,4401,1242,440,6756,4406,998,3007,4208,4605,4820,1078,3053,2716,4586,1499,666,5075,1493,6419,793,1155,1493,1546,5019,2337,403,785,4616,183,646,1220,2206,1555,1522,1296,1980,3316,540,655,592,5444,2495,6076,938,4373,2298,3010,4536,925,646,3221,658,2333,1647,1721,777,1387,4860,2445,6322,3657,1719,3444,453,87,199,5901,2051		100	
6645	IL20	50604	Il20	MGI:1890473	MP:0002534,MP:0002941,MP:0001489,MP:0011110		3068,940,2162,3610		4	
6646	IL20RA	53832	Il20ra	MGI:3605069	MP:0008396,MP:0003795,MP:0002941,MP:0010067,MP:0001212,MP:0009347,MP:0000062,MP:0005343,MP:0004993,MP:0002083,MP:0010875,MP:0004947		2650,1978,940,282,113,1680,2354,636,2536,3221,2183,4338		12	
6647	IL20RB	53833	Il20rb	MGI:2143266	MP:0002152,MP:0005078,MP:0005465,MP:0008566,MP:0005617,MP:0008700,MP:0004931,MP:0001102,MP:0009142,MP:0002092,MP:0001891,MP:0008049,MP:0005348,MP:0008687,MP:0009709,MP:0002631,MP:0002941,MP:0003638,MP:0000274,MP:0000266,MP:0008661		3746,3104,1101,2266,6163,708,6165,474,1169,1508,1921,85,1242,865,474,535,940,3292,3465,184,499		20	
6648	IL21	59067	Il21	MGI:1890474	MP:0002497,MP:0008751,MP:0004800,MP:0008495,MP:0005463,MP:0008482,MP:0004816,MP:0008192,MP:0001148,MP:0004799,MP:0008178,MP:0002359,MP:0008075,MP:0008343,MP:0002145,MP:0002432	HP:0100759,HP:0003212,HP:0032154,HP:0033343,HP:0011839,HP:0001508,HP:0002037,HP:0004315,HP:0001510,HP:0100280,HP:0002205,HP:0012378,HP:0030388	1296,1137,1225,2459,1546,1640,4373,1749,3885,2654,2687,209,1772,4347,2531,691	4709,806,4665,2155,2155,1900,1020,4275,636,1526,4960,2403,2339	16	12
6649	IL21R	50615	Il21r	MGI:1890475	MP:0005079,MP:0005362,MP:0008769,MP:0008496,MP:0005465,MP:0004799,MP:0002607,MP:0009058,MP:0008051,MP:0000334,MP:0001552,MP:0003068,MP:0008566,MP:0010766,MP:0008495,MP:0008700,MP:0002500,MP:0003850,MP:0002442,MP:0008076,MP:0008567,MP:0001790,MP:0002135,MP:0001806,MP:0008075,MP:0001793,MP:0001415,MP:0002490,MP:0008498,MP:0002444,MP:0002376,MP:0002092,MP:0004804,MP:0008522,MP:0005466,MP:0005070,MP:0004802,MP:0008723,MP:0008673,MP:0002492,MP:0008682,MP:0001807,MP:0001828,MP:0003945,MP:0002497,MP:0005616,MP:0005095,MP:0000685,MP:0004392,MP:0005012,MP:0008497	HP:0002719,HP:0200124,HP:0002721,HP:0001508,HP:0011108,HP:0001394,HP:0003139,HP:0002110,HP:0006532,HP:0004798,HP:0002205,HP:0002028,HP:0030151,HP:0020102,HP:0000403	592,2798,4189,2357,1101,2654,3737,6814,3112,2894,3303,3193,2266,1090,2459,708,4950,2355,6333,2858,5531,4185,341,1599,1772,5061,3052,1160,3802,974,1537,1508,4365,3667,590,440,199,5490,47,1710,5130,2712,2445,1980,1296,6574,1719,1395,2325,1783,2714	2809,1821,3738,1900,4572,1574,2227,1510,5455,4731,4960,2854,1821,3491,1855	51	14
