gene	transcript	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
SUSD2	ENST00000358321	526	5.3324e+02	9.8642e-01	3.6081e-05	5238	169	1.7964e+02	9.4077e-01	1982	254	2.4072e+02	1.0552e+00	1.8456e-05	1672	36	2.3940e-06	404	4.2928e+01	1.8144e-21	9.7907e-01	2.0934e-02	8.3861e-01	9.5200e-01	1.1710e+00	9.1800e-01	1.0600e+00	6.4200e-01	1.1070e+00		-6.7302e-01	1.1143e-01	9.7985e-01	11917	6	3	63	1.3373e-03	2.7549e-04	125414	330	1	125745	1.3170e-03	2.1811e-01	5.3822e-03	3.0472e-03	0.0000e+00	1.1536e-03	0.0000e+00	6.2976e-04	1.3118e-03	1.3789e-03	5.3044e-03	3.0114e-03	0.0000e+00	1.1423e-03	0.0000e+00	6.1548e-04	1.3038e-03	1.3728e-03	protein_coding	ENSG00000099994	2	2466	15	protein_coding	7852	1.3261e-10	20	2.9343e+01	6.8159e-01	NA	22	24577227	24585078
ZNF438	ENST00000436087	446	4.2931e+02	1.0389e+00	2.2537e-05	5450	106	1.0380e+02	1.0212e+00	1370	182	1.6097e+02	1.1307e+00	8.6173e-06	1645	11	8.6950e-07	243	1.6448e+01	2.6656e-06	2.3403e-01	7.6597e-01	6.6878e-01	1.0010e+00	1.2790e+00	9.6100e-01	1.1240e+00	4.2000e-01	1.1070e+00		-1.3030e+00	-2.8622e-01	1.2448e+00	11918	6	3	25	3.6580e-04	9.7601e-05	125657	91	0	125748	3.6190e-04	1.6469e-02	6.1516e-05	4.0474e-04	0.0000e+00	0.0000e+00	6.5013e-04	2.5592e-04	6.6188e-04	9.8020e-04	6.1518e-05	4.0480e-04	0.0000e+00	0.0000e+00	6.4692e-04	2.5493e-04	6.5168e-04	9.4767e-04	protein_coding	ENSG00000183621	3	2484	3	protein_coding	211731	3.4556e-05	9	1.4043e+01	6.4087e-01	NA	10	31109136	31320866
ZNF446	ENST00000594369	312	2.8434e+02	1.0973e+00	1.7887e-05	2835	80	7.5902e+01	1.0540e+00	819	144	1.2233e+02	1.1771e+00	7.7729e-06	960	14	1.1043e-06	191	1.9778e+01	5.6695e-08	3.3986e-01	6.6014e-01	7.0785e-01	1.0270e+00	1.3520e+00	9.9900e-01	1.2050e+00	4.6700e-01	1.1070e+00		-1.5401e+00	-5.8282e-01	1.2040e+00	11919	6	3	30	3.2584e-04	7.4230e-05	125663	80	0	125743	3.1816e-04	1.2728e-02	1.3436e-04	1.7376e-04	0.0000e+00	4.9287e-04	1.8816e-04	4.5639e-04	3.3397e-04	2.2903e-04	1.2304e-04	1.7347e-04	0.0000e+00	4.8941e-04	1.8479e-04	4.3961e-04	3.2589e-04	2.2866e-04	protein_coding	ENSG00000083838	2	1350	6	protein_coding	7214	3.3912e-06	10	1.3223e+01	7.5626e-01	NA	19	58985384	58992597
GPR180	ENST00000376958	188	2.1983e+02	8.5521e-01	1.0221e-05	2876	59	6.6369e+01	8.8897e-01	872	79	8.3043e+01	9.5132e-01	4.1536e-06	823	16	9.3196e-07	273	2.1950e+01	4.0903e-09	4.2795e-01	5.7205e-01	7.2893e-01	7.9200e-01	1.1470e+00	7.5900e-01	9.6500e-01	4.9200e-01	1.1070e+00		3.4873e-01	7.6286e-01	1.1769e+00	11920	6	3	24	1.9630e-04	2.7870e-05	125686	49	0	125735	1.9487e-04	4.7749e-03	1.8455e-04	1.4510e-04	2.9880e-04	4.8950e-04	4.6215e-05	1.6800e-04	5.0744e-04	1.9771e-04	1.8456e-04	1.4455e-04	2.9766e-04	4.8941e-04	4.6195e-05	1.6706e-04	4.8872e-04	1.9600e-04	protein_coding	ENSG00000152749	2	1320	9	protein_coding	32743	6.5915e-11	15	1.3720e+01	1.0933e+00	NA	13	95254157	95286899
TPO	ENST00000345913	567	5.6722e+02	9.9960e-01	3.9774e-05	5971	183	1.9602e+02	9.3359e-01	2236	276	2.5831e+02	1.0685e+00	2.1259e-05	1938	36	2.2607e-06	459	4.2930e+01	1.8182e-21	9.7904e-01	2.0960e-02	8.3857e-01	9.6800e-01	1.1810e+00	9.3200e-01	1.0710e+00	6.4200e-01	1.1070e+00		-8.6539e-01	3.3452e-03	9.8016e-01	11921	6	3	58	6.6576e-04	1.1531e-04	125581	167	0	125748	6.6425e-04	5.5483e-02	9.8632e-04	2.6024e-04	1.3890e-03	1.9057e-03	4.6266e-05	6.1684e-04	3.2658e-04	6.5729e-04	9.8474e-04	2.6021e-04	1.3899e-03	1.9046e-03	4.6195e-05	6.1547e-04	3.2579e-04	6.5347e-04	protein_coding	ENSG00000115705	2	2799	16	protein_coding	169489	1.3560e-07	16	2.9571e+01	5.4106e-01	NA	2	1377995	1547483
CYP4X1	ENST00000371901	220	2.8066e+02	7.8387e-01	1.3871e-05	3365	77	9.5523e+01	8.0609e-01	1247	103	1.0672e+02	9.6512e-01	5.4980e-06	948	21	1.3340e-06	312	2.7321e+01	4.7167e-12	6.6279e-01	3.3721e-01	7.6864e-01	8.2200e-01	1.1370e+00	7.0100e-01	8.7700e-01	5.4400e-01	1.1070e+00		2.8327e-01	1.2867e+00	1.1206e+00	11922	6	3	30	3.8931e-04	8.1352e-05	125651	97	0	125748	3.8577e-04	1.8713e-02	2.0009e-03	3.7734e-04	1.9857e-04	2.1810e-04	0.0000e+00	1.6832e-04	1.6303e-04	8.5143e-04	1.9704e-03	3.7588e-04	1.9843e-04	2.1749e-04	0.0000e+00	1.6702e-04	1.6288e-04	8.4959e-04	protein_coding	ENSG00000186377	2	1527	12	protein_coding	89388	1.7209e-06	12	1.9082e+01	6.2888e-01	NA	1	47427036	47516423
LHFPL1	ENST00000371968	75	8.7470e+01	8.5743e-01	6.5344e-06	1421	23	3.4804e+01	6.6084e-01	559	24	3.0834e+01	7.7836e-01	2.1899e-06	445	2	3.5847e-07	103	5.6636e+00	1.3548e-01	7.7022e-02	7.8749e-01	3.5313e-01	5.6300e-01	1.0950e+00	7.1100e-01	1.0390e+00	1.4300e-01	1.1070e+00		9.6747e-01	4.7382e-01	1.4265e+00	11923	6	3	11	6.6303e-05	1.1275e-05	125733	8	4	125745	4.7717e-05	2.8631e-04	1.5265e-04	3.7263e-05	0.0000e+00	2.1646e-04	0.0000e+00	3.7149e-05	0.0000e+00	1.6133e-04	1.2305e-04	2.8909e-05	0.0000e+00	1.6311e-04	0.0000e+00	2.6370e-05	0.0000e+00	9.7993e-05	protein_coding	ENSG00000182508	2	660	3	protein_coding	49500	7.0647e-02	2	3.8106e+00	5.2486e-01	NA	X	111873876	111923375
ADPRM	ENST00000379774	144	1.8218e+02	7.9041e-01	9.0817e-06	2301	40	6.5169e+01	6.1378e-01	837	58	6.7987e+01	8.5311e-01	3.6450e-06	613	7	5.9057e-07	147	1.1872e+01	3.9545e-04	1.4073e-01	8.5887e-01	5.8960e-01	6.9000e-01	1.0620e+00	6.8900e-01	9.0800e-01	3.3400e-01	1.1070e+00		9.5210e-01	1.0053e+00	1.3104e+00	11924	6	3	21	2.1952e-04	9.5434e-05	125694	54	0	125748	2.1474e-04	5.7986e-03	2.6593e-04	5.2006e-04	0.0000e+00	1.6311e-04	0.0000e+00	1.9556e-04	3.2584e-04	2.0032e-04	2.4609e-04	4.9156e-04	0.0000e+00	1.6311e-04	0.0000e+00	1.9339e-04	3.2579e-04	1.9600e-04	protein_coding	ENSG00000170222	2	1026	3	protein_coding	13640	6.5597e-02	3	7.5856e+00	3.9549e-01	NA	17	10600911	10614550
ATG9B	ENST00000377974	499	4.6760e+02	1.0672e+00	2.5607e-05	5709	195	1.8410e+02	1.0592e+00	2295	223	2.1103e+02	1.0567e+00	1.1802e-05	2046	30	1.9503e-06	376	3.6761e+01	1.2544e-17	9.2669e-01	7.3310e-02	8.1609e-01	9.4700e-01	1.1810e+00	9.9100e-01	1.1490e+00	6.1000e-01	1.1070e+00		-6.4799e-01	-5.1608e-01	1.0333e+00	11925	6	3	34	1.0010e+00	1.0000e+00	4402	6	120393	124801	8.1219e-01	8.2326e+04	1.0012e+00	1.0007e+00	1.0004e+00	1.0051e+00	1.0000e+00	1.0004e+00	1.0010e+00	1.0017e+00	8.7977e-01	8.3016e-01	7.2603e-01	8.7701e-01	7.6846e-01	8.1079e-01	7.8743e-01	8.1301e-01	protein_coding	ENSG00000181652	3	2769	14	protein_coding	12290	1.8539e-11	18	2.0387e+01	8.8290e-01	NA	7	150709297	150721586
RP4-559A3.7	ENST00000432920	190	2.4115e+02	7.8790e-01	1.5226e-05	2211	35	5.5648e+01	6.2895e-01	574	90	1.0101e+02	8.9103e-01	6.3340e-06	859	12	1.1973e-06	146	1.7560e+01	7.4364e-07	2.6647e-01	7.3353e-01	6.8339e-01	7.5000e-01	1.0620e+00	6.9900e-01	8.8900e-01	4.3700e-01	1.1070e+00		8.6091e-01	1.1704e+00	1.2294e+00	11926	6	3	19	1.2049e-04	2.3962e-05	125718	30	0	125748	1.1929e-04	1.7895e-03	5.5485e-04	2.0293e-04	0.0000e+00	5.4366e-05	9.2430e-05	7.1686e-05	0.0000e+00	1.0094e-04	5.5380e-04	2.0238e-04	0.0000e+00	5.4367e-05	9.2392e-05	7.0320e-05	0.0000e+00	9.7993e-05	protein_coding	ENSG00000255835	2	1077	8	protein_coding	37583	1.6355e-02	6	1.6788e+01	3.5739e-01	NA	1	226074396	226111978
MTFR2	ENST00000420702	194	2.0614e+02	9.4113e-01	1.0692e-05	2525	48	4.9499e+01	9.6972e-01	616	61	7.1200e+01	8.5674e-01	3.7636e-06	741	11	9.0955e-07	195	1.6443e+01	2.6584e-06	2.3455e-01	7.6545e-01	6.6900e-01	6.9600e-01	1.0600e+00	8.3600e-01	1.0600e+00	4.2000e-01	1.1070e+00		9.5026e-01	3.0036e-01	1.2438e+00	11927	6	3	8	6.9939e-05	2.8119e-05	125706	17	0	125723	6.7611e-05	5.7471e-04	0.0000e+00	6.2112e-05	1.1128e-04	0.0000e+00	0.0000e+00	5.4161e-05	1.1672e-03	3.5519e-05	0.0000e+00	5.7842e-05	9.9211e-05	0.0000e+00	0.0000e+00	5.2750e-05	1.1415e-03	3.2672e-05	protein_coding	ENSG00000146410	2	1155	7	protein_coding	19312	1.5154e-04	8	1.3406e+01	5.9673e-01	NA	6	136552162	136571473
XPNPEP2	ENST00000371106	288	2.7232e+02	1.0576e+00	2.1583e-05	4371	94	9.2749e+01	1.0135e+00	1432	117	1.0675e+02	1.0960e+00	8.7385e-06	1325	23	2.1371e-06	465	2.9426e+01	2.8670e-13	7.4754e-01	2.5246e-01	7.8163e-01	9.4200e-01	1.2780e+00	9.6000e-01	1.1660e+00	5.6100e-01	1.1070e+00		-7.7950e-01	-3.3774e-01	1.0977e+00	11928	6	3	33	4.4293e-04	9.8660e-05	125666	45	36	125747	3.2213e-04	1.3048e-02	2.2798e-04	2.5559e-04	0.0000e+00	1.4447e-03	0.0000e+00	4.2952e-04	4.4155e-04	7.3726e-04	1.8459e-04	2.0238e-04	0.0000e+00	1.0879e-03	0.0000e+00	3.0769e-04	3.2579e-04	4.5738e-04	protein_coding	ENSG00000122121	2	2022	21	protein_coding	30565	1.6920e-06	13	2.3159e+01	5.6135e-01	NA	X	128872950	128903514
ADCK4	ENST00000324464	303	3.4982e+02	8.6615e-01	2.2539e-05	3473	113	1.3930e+02	8.1119e-01	1339	112	1.3708e+02	8.1701e-01	8.1753e-06	1123	23	1.4751e-06	302	2.9403e+01	2.8159e-13	7.4988e-01	2.5012e-01	7.8224e-01	7.0000e-01	9.5600e-01	7.8800e-01	9.5300e-01	5.6200e-01	1.1080e+00		1.6842e+00	8.8960e-01	1.0942e+00	11929	6	3	39	3.7464e-04	5.1623e-05	125656	92	0	125748	3.6588e-04	1.6833e-02	4.3121e-04	2.8930e-04	9.9681e-05	2.7210e-04	9.7622e-05	4.1386e-04	6.6352e-04	5.7284e-04	4.3070e-04	2.8913e-04	9.9211e-05	2.7186e-04	9.2392e-05	4.0441e-04	6.5168e-04	5.5542e-04	protein_coding	ENSG00000123815	2	1632	14	protein_coding	26679	1.8215e-07	14	2.1904e+01	6.3914e-01	NA	19	41197434	41224112
FAM129C	ENST00000335393	373	4.0675e+02	9.1701e-01	2.5097e-05	4341	112	1.2832e+02	8.7283e-01	1472	158	1.7698e+02	8.9274e-01	1.0758e-05	1504	28	1.9373e-06	353	3.4655e+01	2.2418e-16	8.9358e-01	1.0642e-01	8.0797e-01	7.8400e-01	1.0190e+00	8.4200e-01	9.9900e-01	5.9800e-01	1.1080e+00		1.1216e+00	5.9475e-01	1.0475e+00	11930	6	3	36	5.2194e-03	4.7418e-03	124463	1263	22	125748	5.1225e-03	3.2997e+00	1.3229e-03	2.6525e-02	2.0862e-03	1.0518e-02	6.4683e-04	5.7843e-04	4.2845e-03	1.7425e-03	1.1695e-03	2.6246e-02	2.0855e-03	1.0493e-02	6.4692e-04	5.6270e-04	4.2435e-03	1.7326e-03	protein_coding	ENSG00000167483	2	2091	16	protein_coding	30539	1.3408e-10	19	2.5928e+01	7.3279e-01	NA	19	17634110	17664648
RETSAT	ENST00000295802	342	3.4794e+02	9.8293e-01	1.9096e-05	3914	73	8.0514e+01	9.0668e-01	920	147	1.4471e+02	1.0158e+00	7.9602e-06	1279	24	1.9110e-06	302	3.0451e+01	6.8328e-14	7.8668e-01	2.1332e-01	7.8815e-01	8.8800e-01	1.1650e+00	8.9900e-01	1.0750e+00	5.7000e-01	1.1080e+00		-1.4979e-01	1.1316e-01	1.0833e+00	11931	6	3	56	1.3750e-02	2.7922e-03	122995	2724	29	125748	1.1007e-02	1.5235e+01	1.8702e-02	1.0761e-02	2.8809e-03	9.5212e-02	1.1833e-02	4.5861e-03	1.1256e-02	6.4394e-03	1.8566e-02	1.0725e-02	2.8811e-03	5.9333e-02	1.1850e-02	4.5458e-03	9.3269e-03	5.5353e-03	protein_coding	ENSG00000042445	2	1830	11	protein_coding	12533	2.0497e-10	18	2.3451e+01	7.6755e-01	NA	2	85569211	85581743
CTC-360G5.8	ENST00000599996	322	3.6258e+02	8.8808e-01	2.4611e-05	3770	114	1.3605e+02	8.3791e-01	1359	137	1.4366e+02	9.5362e-01	9.4691e-06	1180	32	2.0953e-06	400	3.8810e+01	6.6002e-19	9.5150e-01	4.8504e-02	8.2453e-01	8.2900e-01	1.0990e+00	8.1000e-01	9.7400e-01	6.2100e-01	1.1080e+00		4.3699e-01	7.5730e-01	1.0130e+00	11932	6	3	54	5.9663e-04	8.7488e-05	125602	146	0	125748	5.8069e-04	4.2403e-02	7.5316e-04	1.3743e-03	9.9246e-05	3.3234e-04	3.2661e-04	5.2483e-04	1.7489e-04	4.9142e-04	7.3846e-04	1.3596e-03	9.9211e-05	2.7186e-04	3.2341e-04	5.0993e-04	1.6288e-04	4.9006e-04	protein_coding	ENSG00000269547	2	1762	20	protein_coding	34452	NA	NA	NA	NA	NA	19	39406044	39440495
HSF4	ENST00000264009	251	2.8173e+02	8.9094e-01	1.5123e-05	3125	63	7.2023e+01	8.7472e-01	881	117	1.2171e+02	9.6128e-01	6.8484e-06	1043	17	1.0532e-06	253	2.3004e+01	1.0632e-09	4.7847e-01	5.2153e-01	7.3900e-01	8.2700e-01	1.1210e+00	8.0300e-01	9.8900e-01	5.0500e-01	1.1080e+00		3.3581e-01	6.5052e-01	1.1600e+00	11933	6	3	32	4.4329e-04	8.0325e-05	124772	104	0	124876	4.1650e-04	2.1663e-02	5.4978e-04	2.3384e-04	2.0492e-04	1.1869e-03	3.3284e-04	4.9408e-04	1.8070e-04	2.3473e-04	5.1230e-04	2.3172e-04	1.9859e-04	1.1677e-03	2.7828e-04	4.5905e-04	1.6487e-04	1.9607e-04	protein_coding	ENSG00000102878	3	1476	13	protein_coding	6561	2.5005e-10	15	1.5230e+01	9.8489e-01	NA	16	67197288	67203848
TRIM6	ENST00000380097	324	2.7645e+02	1.1720e+00	1.5049e-05	3358	90	6.7937e+01	1.3247e+00	987	101	1.0474e+02	9.6426e-01	5.1725e-06	1028	22	1.8248e-06	283	2.8344e+01	1.1425e-12	7.1019e-01	2.8981e-01	7.7617e-01	8.2000e-01	1.1380e+00	1.0690e+00	1.2850e+00	5.5400e-01	1.1080e+00		2.8754e-01	-1.0163e+00	1.1042e+00	11934	6	3	45	9.9378e-04	3.2667e-04	125536	211	0	125747	8.3934e-04	8.8587e-02	4.9222e-04	2.6597e-03	5.9583e-04	4.8939e-04	2.3102e-04	9.5695e-04	1.1431e-03	4.5774e-04	3.6916e-04	2.6341e-03	5.9542e-04	4.8946e-04	2.3099e-04	6.5065e-04	1.1407e-03	4.2470e-04	protein_coding	ENSG00000121236	2	1548	8	protein_coding	16850	3.7864e-10	17	2.1324e+01	7.9721e-01	NA	11	5617339	5634188
AARSD1	ENST00000427569	243	2.4341e+02	9.9833e-01	1.3550e-05	2699	50	5.6694e+01	8.8192e-01	609	94	9.1989e+01	1.0219e+00	4.8524e-06	823	16	1.0222e-06	253	2.1940e+01	4.0653e-09	4.2929e-01	5.7071e-01	7.2926e-01	8.6400e-01	1.2130e+00	8.9800e-01	1.1100e+00	4.9300e-01	1.1080e+00		-1.6483e-01	9.2816e-03	1.1751e+00	11935	6	3	29	9.3504e-04	4.1754e-04	125513	235	0	125748	9.3485e-04	1.0990e-01	6.8908e-03	7.8056e-04	0.0000e+00	2.7198e-04	4.6206e-05	2.9063e-04	6.5205e-04	1.7314e-03	6.9137e-03	7.8083e-04	0.0000e+00	2.7186e-04	4.6195e-05	2.9010e-04	6.5168e-04	1.7326e-03	protein_coding	ENSG00000266967	2	1236	12	protein_coding	13973	2.4391e-07	12	1.5447e+01	7.7686e-01	NA	17	41102543	41116515
ESYT3	ENST00000389567	490	4.9438e+02	9.9114e-01	2.7331e-05	5707	161	1.8416e+02	8.7425e-01	2179	187	2.0374e+02	9.1782e-01	1.0915e-05	1818	42	2.6909e-06	537	4.8999e+01	2.3108e-25	9.9454e-01	5.4574e-03	8.5716e-01	8.1400e-01	1.0360e+00	9.2000e-01	1.0680e+00	6.6900e-01	1.1090e+00		9.2212e-01	6.9989e-02	9.2653e-01	11936	6	3	74	1.0389e-03	1.2330e-04	125494	254	0	125748	1.0105e-03	1.2839e-01	1.0707e-03	1.7608e-03	0.0000e+00	2.9704e-03	1.3861e-04	6.8243e-04	1.6713e-03	1.2161e-03	1.0463e-03	1.7071e-03	0.0000e+00	2.9401e-03	1.3859e-04	6.6824e-04	1.6300e-03	1.1438e-03	protein_coding	ENSG00000158220	2	2658	23	protein_coding	47101	2.4327e-11	23	3.7442e+01	6.1428e-01	NA	3	138153428	138200528
CLEC4G	ENST00000328853	150	1.7310e+02	8.6657e-01	8.6832e-06	1868	42	5.3008e+01	7.9234e-01	620	81	7.7100e+01	1.0506e+00	4.3684e-06	574	10	6.5485e-07	167	1.5294e+01	9.3088e-06	2.0819e-01	7.9180e-01	6.5387e-01	8.7700e-01	1.2640e+00	7.5800e-01	9.9200e-01	4.0200e-01	1.1090e+00		-3.4916e-01	6.2385e-01	1.2543e+00	11937	6	3	11	1.1399e-04	6.8298e-05	125712	28	0	125740	1.1135e-04	1.5589e-03	6.2189e-05	5.5228e-04	0.0000e+00	5.4395e-05	0.0000e+00	5.6552e-05	0.0000e+00	3.2667e-05	6.1518e-05	5.4957e-04	0.0000e+00	5.4367e-05	0.0000e+00	5.2741e-05	0.0000e+00	3.2663e-05	protein_coding	ENSG00000182566	2	879	9	protein_coding	4950	1.1228e-03	6	1.0048e+01	5.9711e-01	NA	19	7793843	7798792
GDPD4	ENST00000315938	272	2.7207e+02	9.9975e-01	1.3290e-05	3429	74	8.2377e+01	8.9831e-01	1130	92	9.7582e+01	9.4280e-01	4.9935e-06	963	23	1.2463e-06	363	2.9395e+01	2.7987e-13	7.5068e-01	2.4932e-01	7.8245e-01	7.9600e-01	1.1210e+00	9.0500e-01	1.1050e+00	5.6200e-01	1.1090e+00		4.4416e-01	1.4490e-03	1.0930e+00	11938	6	3	24	3.0829e-03	2.4041e-03	124985	754	9	125748	3.0385e-03	1.1609e+00	2.3407e-03	4.6432e-04	6.1508e-03	3.1434e-02	0.0000e+00	2.4680e-04	3.1169e-03	1.0958e-03	2.2170e-03	4.6264e-04	6.0700e-03	3.1484e-02	0.0000e+00	2.4614e-04	3.0993e-03	1.0784e-03	protein_coding	ENSG00000178795	2	1560	15	protein_coding	85130	9.3323e-09	15	1.9864e+01	7.5513e-01	NA	11	76927603	77012732
C15orf60	ENST00000331090	136	1.4664e+02	9.2747e-01	8.4826e-06	1667	39	5.0041e+01	7.7936e-01	582	61	5.9905e+01	1.0183e+00	3.6525e-06	532	9	6.6717e-07	163	1.4162e+01	3.2736e-05	1.8269e-01	8.1728e-01	6.3550e-01	8.2800e-01	1.2600e+00	8.0600e-01	1.0690e+00	3.8200e-01	1.1090e+00		-1.1124e-01	3.1210e-01	1.2711e+00	11939	6	3	20	1.9490e-04	3.6196e-05	124594	43	0	124637	1.7252e-04	3.7094e-03	1.9380e-04	1.1690e-04	8.1185e-04	1.1129e-04	4.9476e-05	2.3792e-04	1.6573e-04	7.2390e-05	1.9374e-04	1.1585e-04	7.9539e-04	1.1127e-04	4.6409e-05	1.9467e-04	1.6525e-04	6.5357e-05	protein_coding	ENSG00000183324	2	798	6	protein_coding	116857	3.4358e-03	5	8.6318e+00	5.7926e-01	NA	15	73735499	73852355
C16orf87	ENST00000285697	41	7.6540e+01	5.3567e-01	3.5512e-06	999	3	8.8253e+00	3.3993e-01	102	20	2.5813e+01	7.7480e-01	1.2327e-06	275	5	6.4513e-07	112	9.4735e+00	4.4861e-03	1.1248e-01	8.8303e-01	5.2779e-01	5.4400e-01	1.1260e+00	4.1600e-01	6.9500e-01	2.7500e-01	1.1090e+00		8.9940e-01	1.4436e+00	1.3468e+00	11940	6	3	7	3.4602e-05	8.5022e-06	125737	8	0	125745	3.1811e-05	1.2725e-04	1.9254e-04	0.0000e+00	1.2364e-04	0.0000e+00	0.0000e+00	1.8299e-05	0.0000e+00	7.6626e-05	1.8456e-04	0.0000e+00	9.9231e-05	0.0000e+00	0.0000e+00	1.7580e-05	0.0000e+00	6.5327e-05	protein_coding	ENSG00000155330	2	462	4	protein_coding	34805	9.7479e-02	3	8.6569e+00	3.4654e-01	NA	16	46830519	46865323
ZFYVE27	ENST00000356257	210	2.4611e+02	8.5329e-01	1.5587e-05	2685	73	7.8583e+01	9.2896e-01	741	109	1.0524e+02	1.0357e+00	6.9505e-06	835	17	1.2252e-06	269	2.3001e+01	1.0613e-09	4.7884e-01	5.2116e-01	7.3909e-01	8.8600e-01	1.2140e+00	7.6200e-01	9.5700e-01	5.0500e-01	1.1090e+00		-2.8799e-01	8.1786e-01	1.1596e+00	11941	6	3	24	1.9584e-04	3.5786e-05	125699	49	0	125748	1.9485e-04	4.7744e-03	1.2303e-04	2.0382e-04	0.0000e+00	4.3494e-04	5.1123e-04	1.6802e-04	1.6297e-04	3.2663e-05	1.2304e-04	2.0238e-04	0.0000e+00	4.3502e-04	5.0826e-04	1.6702e-04	1.6288e-04	3.2663e-05	protein_coding	ENSG00000155256	3	1248	12	protein_coding	23787	3.7040e-03	7	1.7203e+01	4.0691e-01	NA	10	99496878	99520664
AQP10	ENST00000324978	122	1.7096e+02	7.1362e-01	9.3809e-06	1894	36	6.3579e+01	5.6622e-01	748	68	7.2087e+01	9.4330e-01	4.0283e-06	691	6	4.5690e-07	119	1.0672e+01	1.3339e-03	1.2614e-01	8.7253e-01	5.6223e-01	7.7500e-01	1.1540e+00	6.1500e-01	8.2900e-01	3.0700e-01	1.1090e+00		3.7841e-01	1.3306e+00	1.3252e+00	11942	6	3	8	5.5909e-05	1.5961e-05	125734	14	0	125748	5.5668e-05	3.8969e-04	1.8507e-04	1.4546e-04	9.9285e-05	1.0909e-04	0.0000e+00	0.0000e+00	1.6292e-04	6.5325e-05	1.8456e-04	1.4455e-04	9.9211e-05	1.0874e-04	0.0000e+00	0.0000e+00	1.6288e-04	6.5327e-05	protein_coding	ENSG00000143595	2	903	6	protein_coding	4236	1.5278e-02	4	8.0759e+00	4.9530e-01	NA	1	154293566	154297801
SNX11	ENST00000393405	124	1.4886e+02	8.3297e-01	8.1559e-06	1745	47	6.1465e+01	7.6466e-01	689	47	5.4951e+01	8.5530e-01	2.8729e-06	543	12	1.1716e-06	159	1.7525e+01	7.3043e-07	2.7012e-01	7.2988e-01	6.8474e-01	6.7600e-01	1.0910e+00	7.1900e-01	9.6700e-01	4.3800e-01	1.1090e+00		8.4318e-01	7.2420e-01	1.2230e+00	11943	6	3	16	1.4717e-04	4.7728e-05	125710	37	0	125747	1.4713e-04	2.7221e-03	6.1516e-05	2.6025e-04	0.0000e+00	2.1746e-04	4.6206e-05	1.5830e-04	1.6313e-04	9.7988e-05	6.1518e-05	2.6021e-04	0.0000e+00	2.1749e-04	4.6195e-05	1.5823e-04	1.6288e-04	9.7993e-05	protein_coding	ENSG00000002919	2	810	6	protein_coding	19718	3.8565e-05	9	1.4277e+01	6.3038e-01	NA	17	46180719	46200436
AMBN	ENST00000322937	260	2.4468e+02	1.0626e+00	1.1931e-05	2899	81	8.0997e+01	1.0000e+00	959	97	9.0204e+01	1.0753e+00	5.3465e-06	875	17	9.7478e-07	284	2.2984e+01	1.0497e-09	4.8118e-01	5.1882e-01	7.3965e-01	9.1100e-01	1.2730e+00	9.5900e-01	1.1780e+00	5.0500e-01	1.1090e+00		-5.6245e-01	-3.4795e-01	1.1566e+00	11944	6	3	22	3.7234e-04	9.5643e-05	125652	92	0	125744	3.6589e-04	1.6834e-02	2.5251e-04	8.6755e-05	0.0000e+00	2.2631e-04	1.0627e-03	4.6687e-04	1.7489e-04	1.6339e-04	2.4609e-04	8.6729e-05	0.0000e+00	2.1751e-04	1.0630e-03	4.5719e-04	1.6288e-04	1.6333e-04	protein_coding	ENSG00000178522	2	1341	13	protein_coding	15033	1.8552e-05	10	1.6559e+01	6.0390e-01	NA	4	71457973	71473005
C2orf74	ENST00000432605	82	9.1470e+01	8.9647e-01	4.1446e-06	1275	15	1.5551e+01	9.6457e-01	195	31	3.0971e+01	1.0009e+00	1.4901e-06	360	2	2.3623e-07	87	5.6536e+00	1.3499e-01	7.7444e-02	7.8757e-01	3.5376e-01	7.5100e-01	1.3510e+00	7.4900e-01	1.0770e+00	1.4400e-01	1.1090e+00		-4.0946e-03	3.5187e-01	1.4239e+00	11945	6	3	0	0.0000e+00	0.0000e+00	0	0	0	0	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	protein_coding	ENSG00000237651	3	582	4	protein_coding	19722	NA	NA	NA	NA	NA	2	61372243	61391964
